title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
5677,400000,"[878, 80]",[0],9994,19707,6.0,131,4.086838479083424
46429,17000000,"[28, 27, 37]",[0],67850,136141,4.8,295,4.064318705689147
8974,2000000,"[878, 28]",[0],103079,51000,6.846,476,4.626863116235674
9443,5500000,"[18, 36]",[6],11854,58220,6.872,681,4.844369721703629
71677,8000000,[28],[0],78110,5917,6.272,309,4.322598954831839
14171,12000000,"[18, 10752]",[0],10860,11472,5.5,133,4.048268666519288
10083,15000000,"[28, 18, 53]",[0],193,21370,6.926,507,4.681568699462364
8665,100000000,"[18, 36, 10752, 53, 9648]","[7, 10, 6, 0]",3896,14392,6.45,785,4.791493322516821
10774,3800000,[18],[0],6450,39996,7.867,1320,5.772218341421707
11123,7000000,"[28, 18, 53]",[0],44719,19457,6.2,254,4.2507150571862775
10671,10000000,"[28, 18, 53]",[0],4299,24939,6.4,284,4.315626299301757
2612,20000000,"[14, 35, 878, 10749]",[0],3895,27444,6.1,159,4.128916611962774
2787,23000000,"[53, 878, 28]",[0],8329,28239,6.834,3730,6.001124365958919
892,4000000,"[35, 878, 14]",[9],13686,13680,7.335,1111,5.376949569189746
11542,15000000,"[27, 878, 53]",[0],7571,32327,6.704,496,4.613759477902314
10654,11000000,"[35, 18, 10402, 10749, 10752]","[10, 0]",4515,3974,7.314,520,4.796352177505573
9381,70000000,"[28, 12, 878, 53]","[9, 6]",1620,2406,5.573,1705,4.801046561538433
611014,1522860,"[12, 14, 10751]",[64],2346748,238106,6.8,45,4.003210106053208
10436,34000000,"[18, 10749]",[0],1160,1032,6.984,840,5.022964798119974
512,4000000,"[35, 9648]",[6],6968,1243,6.6,1370,5.202307637019125
25934,625000,[18],[6],134234,46611,7.5,246,4.425753040617327
43552,10000000,"[9648, 27, 53]",[0],9030,37948,5.3,452,4.239993754774064
465914,12000000,"[10749, 18]",[0],1388314,92784,6.992,949,5.1136449170455816
26655,5000000,"[35, 18, 10751]",[0],59645,1106141,5.4,85,3.998689706492966
13567,350000,[27],[0],74674,74671,6.4,490,4.532272981581371
9722,85000000,"[35, 14, 10749]",[0],23659,9248,5.028,1318,4.439097355669096
16632,3200000,"[35, 10749]",[12],118692,118688,6.4,89,4.05853079484774
5916,3352254,"[28, 80, 53]",[0],46597,7767,7.1,415,4.61115348127939
11380,10000000,"[27, 53, 28]",[0],2230,15521,4.7,120,3.977005205818573
10186,15000000,"[35, 10402]",[0],54415,57630,6.0,485,4.429417804822279
36231,25000,"[27, 35]",[3],1089916,1089915,3.9,29,3.918493721541403
50357,5000000,"[27, 53, 878]","[7, 0]",232525,77123,5.26,814,4.392279625271318
9789,5000000,"[35, 18, 36]","[9, 21]",59270,59911,6.749,354,4.461596366573631
505914,395168,"[878, 18, 10749]","[51, 0]",88229,1980506,5.078,223,4.06958124581889
12193,80000000,"[35, 10749, 18]",[0],368,71600,5.801,905,4.6294850925997695
10547,25000000,"[878, 53]","[4, 0]",32225,28239,5.982,592,4.504945989575303
635,17000000,"[27, 9648]","[7, 6, 0]",380,9168,7.132,1171,5.3318002527874935
12573,7000000,"[35, 18]","[0, 6, 9]",21125,1224,6.77,1683,5.430213499617163
26390,17000000,"[80, 18, 53]",[0],1896,20907,6.3,750,4.715421864976484
9605,16000000,[53],[0],10431,23393,6.322,467,4.491749191482286
296360,3000000,"[18, 10749]","[6, 0, 44, 26, 9]",109438,78188,6.138,454,4.436593742128342
9428,21000000,"[35, 18]",[0],5657,5655,7.495,3786,6.484113271261318
362045,19500000,"[10752, 36, 10749]",[15],224223,42804,7.326,219,4.3549670493048875
5723,160000,"[18, 10402, 10749]",[44],45127,45117,7.406,1069,5.3744742612328285
9754,45000000,"[28, 80, 53]","[0, 2]",6162,33315,5.798,779,4.563456135407873
8512,27000000,"[53, 80, 18, 9648]",[0],3197,21712,6.317,278,4.2955237995731155
53080,3000000,"[27, 28, 10770]","[7, 2]",232525,23841,3.9,59,3.9181359957608404
11393,28000000,[18],[0],3087,8246,6.929,477,4.648097949042534
9835,10000000,"[35, 80]",[0],21029,12936,5.4,141,4.046746168737981
12496,5000000,"[18, 10749, 36]",[3],72494,72496,7.786,234,4.443154002328626
332411,18000000,"[28, 80, 18, 53]",[0],22227,26713,5.5,548,4.343604878971554
2124,40000000,"[10749, 53, 18]",[0],21817,21806,5.758,452,4.346486688577024
75900,6400000,"[18, 10749]","[6, 0]",11181,133502,6.693,1105,5.09925429192644
20539,25000000,"[18, 36]",[0],1920,55476,6.6,417,4.504538197114135
10390,50000000,"[18, 10749]",[0],11164,7623,6.5,336,4.393302448595379
371645,2500000,"[12, 35, 18]",[18],1139349,55934,7.706,1652,5.908828883822661
60243,5000000,[18],[65],559566,229931,7.914,1367,5.829128829391866
596,800000,[18],[0],8515,8500,7.845,743,5.224089815773368
931,1500000,"[53, 18, 27]","[21, 6]",55636,14132,7.018,771,4.974754341029145
32613,300000,[27],"[13, 6]",5,50542,6.348,205,4.212307737740492
1049,30000000,"[18, 53, 9648, 10749]","[9, 0]",1205,15148,6.4,293,4.326136092821637
100,1350000,"[35, 80]",[6],974,956,8.16,5516,7.2570897984919025
11520,35100000,[35],[0],6837,18281,6.623,514,4.611760580511438
3090,3800000,"[12, 18, 37]",[0],19020,6593,8.029,907,5.472831749832967
103370,20000000,"[18, 35, 80]",[0],26510,80602,6.1,154,4.12292890290845
16437,5000000,"[28, 12, 878]",[0],11701,77947,4.4,96,3.947941235768865
399790,10000000,"[18, 36]",[6],8436,97942,6.1,260,4.242550233811895
13416,30000000,[18],[0],155,36602,6.945,429,4.594676584967105
844,12000000,"[14, 18, 878, 10749]","[10, 8, 16, 9, 21]",643,12453,7.211,660,4.928554069010162
1408,98000000,"[28, 12]","[9, 10, 21, 0]",8654,16938,5.8,426,4.336680680844494
19592,1500000,"[27, 53, 37]",[0],335,83857,5.847,222,4.168598401522347
9263,12000000,"[35, 18, 10749]",[0],12929,15798,6.9,350,4.485321546186754
10660,20000000,"[35, 18, 10749]",[0],2233,41550,6.5,566,4.628751566481917
693827,183210,"[80, 18, 53]",[0],65731,1513670,6.173,84,4.039002562255026
10249,42000000,"[28, 12, 878, 10751]",[0],1903,4945,6.5,716,4.755877808273274
429189,25000000,"[18, 10749]",[0],36594,1243,6.405,1159,5.005804564295638
44470,2000000,"[35, 27]",[0],24695,3535169,5.6,81,4.005425342206905
1429,5000000,"[80, 18]",[0],1233,5281,7.367,1946,5.870629948834443
139567,20000000,"[28, 80, 18, 53]",[0],62,9556,5.7,577,4.415591197163203
1480,829000,"[80, 53]",[0],7302,40,7.786,1138,5.592203569819619
12104,12000000,"[10402, 18]",[6],71247,9168,8.009,1202,5.74382119744551
8489,107000000,[18],"[24, 0]",134,638,6.784,1401,5.3063928720547695
101669,11000000,"[53, 80, 27]",[0],5915,2675,6.5,331,4.387524155889087
12521,5000000,[27],[0],12644,5140,5.567,320,4.209926098714711
6968,27000000,"[28, 80, 18, 36, 53]","[1, 9, 10]",677,15868,6.995,457,4.640167468054718
13184,45000000,"[28, 80, 53]",[0],74747,31033,5.166,851,4.37184021073185
10723,25000000,"[35, 80, 28]",[0],19292,15521,5.6,468,4.320281929274379
