0,1,2,3,4,5,6,7
{801071: 'The Jack in the Box: Awakening'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",{1733286: 'Matt McClure'},{1976339: 'Lawrence Fowler'},5.697,66
{661791: 'The Grandmother'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",{1910478: 'Vera Valdez'},{54526: 'Paco Plaza'},5.85,236
{838330: 'Not Okay'},0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3184532: 'Mia Isaac'},{429728: 'Quinn Shephard'},6.7,163
{960258: 'Shark Bait'},0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'MT', 'name': 'Malta'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1383391: 'Holly Earl'},{1088096: 'James Nunn'},6.3,103
{585511: 'Luck'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{11108: 'Simon Pegg'},{80672: 'Peggy Holmes'},8.363,223
{869399: 'The Passenger'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",{1637068: 'Ramiro Blas'},{2596472: 'Raúl Cerezo'},6.7,15
{615173: 'The Witch: Part 2. The Other One'},0,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",{1134684: 'Park Eun-bin'},{557736: 'Park Hoon-jung'},7.645,38
{887357: 'Green Lantern: Beware My Power'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{22125: 'Jimmi Simpson'},{2927725: 'Jeff Wamester'},7.2,76
{1002695: 'Mirreyes vs. Godínez 2: El retiro'},0,"[{'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",{1251058: 'Regina Blandón'},{964826: 'Chava Cartas'},7.388,49
{764835: 'The Desperate Hour'},0,"[{'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1558012: 'Colton Gobbo'},{13015: 'Phillip Noyce'},6.169,207
