title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
마미,4900000,드라마,Canada,Antoine Olivier Pilon,Xavier Dolan,8.277,2332,6.576634227844508
더 인비트위너스 : 섹스온더비치,4478250,코미디,United Kingdom,James Buckley,Ben Palmer,6.14,756,4.665842039711723
세상을 바꾼 변호인,20000000,드라마,United States of America,Armie Hammer,Mimi Leder,7.44,846,5.193004238654998
마우스 헌트,38000000,코미디,United States of America,Lee Evans,Gore Verbinski,6.479,1019,4.957822014291168
티스,2000000,코미디,United States of America,John Hensley,Mitchell Lichtenstein,5.279,580,4.299600079627503
도프,7000000,범죄,United States of America,Kiersey Clemons,Rick Famuyiwa,7.11,1256,5.377428950798919
세렌디피티,28000000,코미디,United States of America,Kate Beckinsale,Peter Chelsom,6.867,1599,5.443983070570331
세이브 더 라스트 댄스,13000000,드라마,United States of America,Sean Patrick Thomas,Thomas Carter,6.579,1099,5.047208157110475
시네마 천국,5000000,드라마,France,Jacques Perrin,Giuseppe Tornatore,8.466,3417,7.084016526510246
탱고와 캐쉬,55000000,액션,United States of America,Kurt Russell,Andrei Konchalovsky,6.416,1515,5.177001319845054
킹덤,70000000,스릴러,Germany,Jennifer Garner,Peter Berg,6.673,1321,5.212242460525756
델마와 루이스,16000000,드라마,United States of America,Susan Sarandon,Ridley Scott,7.559,2683,6.258170911871534
하이힐을 신고 달리는 여자,24000000,로맨스,United States of America,Pierce Brosnan,Douglas McGrath,5.24,334,4.160516530602024
셜록 놈즈,59000000,애니메이션,United Kingdom,Johnny Depp,John Stevenson,5.618,598,4.405034242119709
브루클린,11000000,로맨스,Ireland,Domhnall Gleeson,John Crowley,7.305,2755,6.115454005948018
데이라잇,80000000,액션,United States of America,Amy Brenneman,Rob Cohen,6.1,1255,4.915357692163637
매디슨 카운티의 다리,24000000,드라마,United States of America,Meryl Streep,Clint Eastwood,7.7,1716,5.941473793867736
